Word,Level,Weight,Length,Start,End
16th,1,1.637545544,1,2009,2009
bolt,1,1.637545544,1,2009,2009
climb,1,1.637545544,1,2009,2009
zoe,1,1.637545544,1,2009,2009
hunch,1,1.637545544,1,2009,2009
usmc,1,1.637545544,1,2009,2009
andrea,1,1.637545544,1,2009,2009
accord,1,1.637545544,1,2009,2009
negat,1,1.627947869,1,2012,2012
didnt,1,1.625070986,1,2012,2012
muscal,1,1.618733958,1,2010,2010
provent,1,1.618733958,1,2010,2010
moan,1,1.618733958,1,2010,2010
2day,1,1.618733958,1,2010,2010
war,1,1.618733958,1,2010,2010
german,1,1.618733958,1,2010,2010
trick,1,1.617951088,1,2009,2009
kiss,1,1.616622136,1,2012,2012
nervous,1,1.616622136,1,2012,2012
bananna,1,1.609821778,2,2011,2012
